QUEST_LV_0200_20150317_000001	フィリパス直属部隊員
QUEST_LV_0200_20150717_008807	魔術師の塔2階にいるグリタと話す
QUEST_LV_0200_20150717_008808	炎の蒸気を吹き込めば炎の蒸気が勝手に炎のエキスを集めるはずです。その炎のエキスで紅炎の宝石を満たしてください。
QUEST_LV_0200_20150717_008809	魔術師の塔3階にいるグリタと話す
QUEST_LV_0200_20150717_008810	魔術師アンタレスが解き放たれたようです。アンタレスが召喚したレッドインフロラクターを退治退治してください。
QUEST_LV_0200_20150717_008811	魔術師の塔4階でグリタと話す
QUEST_LV_0200_20150717_008812	周辺にいるモンスターを退治して紅炎の宝石の状態を調べる
QUEST_LV_0200_20150717_008813	紅炎の宝石の様子がおかしいです。もう一度グリタと話してみましょう。
QUEST_LV_0200_20150717_008814	魔力安定化装置作動
QUEST_LV_0200_20150717_008815	安定化装置を使ってどうにか落ち着かせましたが、紅炎の宝石はまだ不安げに揺れています。どうすればいいか、グリタと話してみてください。
QUEST_LV_0200_20150717_008816	魔力制御室を探す
QUEST_LV_0200_20150717_008817	紅炎の宝石は落ち着きましたが、3階で起きた爆発の余波で魔術師の塔が危険です。歪んだ塔の魔力を制御するために、魔力制御室を見つけてください。
QUEST_LV_0200_20150717_008818	魔力を制御するグリタを守る
QUEST_LV_0200_20150717_008819	グリタは魔力制御室へ行きたいようです。グリタが魔力を制御している間、グリタを守ってください。
QUEST_LV_0200_20150717_008820	モンスターを退治しましたが、塔は揺れ続けています。次に何をすべきか、グリタと話してみてください。
QUEST_LV_0200_20150717_008821	グリタの脅威となるモンスターを退治しました。次に何をすべきかグリタと話してみてください。
QUEST_LV_0200_20150717_008822	魔術師の塔5階へ移動
QUEST_LV_0200_20150717_008823	グリタは自分が塔を護るので、女神に紅炎の宝石を届けてくれと言います。女神がいる魔術師の塔5階へ向かってください。
QUEST_LV_0200_20150717_008824	5階への道を塞ぐグライネンダー退治
QUEST_LV_0200_20150717_008825	ラムベアーの爪収集
QUEST_LV_0200_20150717_008826	盗掘師フベルタスから、王国軍に渡すラムベアーの爪を集めてほしいと頼まれました。
QUEST_LV_0200_20150717_008827	石化探知機の駆動核回収
QUEST_LV_0200_20150717_008828	クリオマンサー コスタスはシルトの証を増幅する石化探知機の駆動核が必要だと言います。パライカイの分かれ道に棄てられている石化探知機の中からシルトの証が反応する石化探知機の駆動核を回収してください。
QUEST_LV_0200_20150717_008829	なんとか使えそうな石化探知機の駆動核を回収しました。クリオマンサー コスタスに届けてください。
QUEST_LV_0200_20150717_008830	河口堤の三叉路周辺にいるモンスター退治
QUEST_LV_0200_20150717_008831	石化した都市の中心市街地にいる盗掘師ステフォナスが協力者を探しています。
QUEST_LV_0200_20150717_008832	咳止め薬回収
QUEST_LV_0200_20150717_008833	ヴィルヘルミナ・キャリオットから、石化の霜にやられた兵士たちのためにモンスターたちに奪われた咳止め薬を取り戻してほしいと頼まれました。
QUEST_LV_0200_20150717_008834	ビエンティ城砦のモンスターから %s 収集
QUEST_LV_0200_20150717_008835	ビエンティ城砦の焚き火に火をつける
QUEST_LV_0200_20150717_008836	ボコル エディタから、この街の霊魂たちを慰めるため、ビエンティ城砦に設置された焚き火に火をつけてほしいと頼まれました。
QUEST_LV_0200_20150717_008837	ボコル エディタに頼まれて焚き火に火をつけました。エディタのところに戻りましょう。
QUEST_LV_0200_20150717_008838	ルバボス退治
QUEST_LV_0200_20150717_008839	アルケミスト サリアモナスから、ネヴェキア城塞で廃墟の破壊を繰り返すルバボスを退治してほしいと頼まれました。
QUEST_LV_0200_20150717_008840	アルケミスト サリアモナスに頼まれた通り、ルバボスを退治しました。サリアモナスのところに戻りましょう。
QUEST_LV_0200_20150717_008841	封印石を侮辱したアルマ退治
QUEST_LV_0200_20150717_008842	封印石は自分を侮辱したアルマを退治してほしいようです。封印石の代わりにアルマを退治してください。
QUEST_LV_0200_20150717_008843	封印石を侮辱したアルマを退治しました。{nl}封印石に報告してください。
QUEST_LV_0200_20150717_008844	弟子ホネスは師匠の遺産を探す鍵である霊魂の結晶を、シャドージェイラーが持っていると言います。真実の目でシャドージェイラーの実体を見つけ出し、退治してください。
QUEST_LV_0200_20150717_008845	ホネスのメモ : 魔石の破片を全部集めたら、記憶の神堂へ行け。そこにある保存の魔法陣で魔石を復元できる。
QUEST_LV_0200_20150717_008846	交感の魔石が停止するとジェーンの霊魂が解放されるのと同時にアコンも解き放たれるそうです。魔気を抑制する印章をアコンに使えば、アコンの力を弱化することができます。
QUEST_LV_0200_20150717_008847	風化した碑石を復元するため、モンスターに赤い毒薬瓶を投げて酸性の体液を入手し、フェディミアンの雑貨商人から希釈液をもらってください。
QUEST_LV_0200_20150717_008848	鍛冶屋がくれたエサ箱を使って出て来たインフロガラスメイジを退治し、べたつく樹脂を集めてください。{nl}ビルティスの森でインフロガラスメイジを狩っても手に入ります。
QUEST_LV_0200_20150717_008849	次の地域へ移動
QUEST_LV_0200_20150717_008850	アマンダと一緒に次の地域へ移動してください。
QUEST_LV_0200_20150717_008851	モンスターの襲撃から脱出する
QUEST_LV_0200_20150717_008852	モンスターの襲撃から脱出してください。
QUEST_LV_0200_20150717_008853	王国軍警備兵デルスと話す
QUEST_LV_0200_20150717_008854	王国軍警備兵デルスと話してください。
QUEST_LV_0200_20150717_008855	駐屯地奪還
QUEST_LV_0200_20150717_008856	はぐれた王国軍警備兵を連れて来る
QUEST_LV_0200_20150717_008857	はぐれた王国軍警備兵を連れて来てください。
QUEST_LV_0200_20150717_008858	王国軍警備兵デルスと話してください。
QUEST_LV_0200_20150717_008859	王国軍警備兵の死体を調べて装備を集める
QUEST_LV_0200_20150717_008860	モンスターたちの攻撃を受けて死んだ王国軍警備兵の死体を調べ、装備を集めてください。
QUEST_LV_0200_20150717_008861	駐屯地を占領しているモンスターを退治
QUEST_LV_0200_20150717_008862	王国軍警備兵デルスと話してください。
QUEST_LV_0200_20150717_008863	防御施設を設置
QUEST_LV_0200_20150717_008864	駐屯地を守るために防御施設を設置してください。
QUEST_LV_0200_20150717_008865	攻撃してくるボスモンスター退治
QUEST_LV_0200_20150717_008866	攻撃してくるボスモンスターからアマンダを守ってください。
QUEST_LV_0200_20150717_008867	アマンダと話してください
QUEST_LV_0200_20150717_008868	王国軍を襲撃したモンスター退治
QUEST_LV_0200_20150717_008869	将校の霊魂と話す
QUEST_LV_0200_20150717_008870	将校の霊魂と話してください。
QUEST_LV_0200_20150717_008871	隠された場所を探索
QUEST_LV_0200_20150717_008872	将校の霊魂が隠された場所へ移動させてくれました。隠された場所を探索してみましょう。
QUEST_LV_0200_20150717_008873	棄てられたハニカムから%s収集
QUEST_LV_0200_20150717_008874	ハンター ナターシャと話し、手紙について尋ねてください。
QUEST_LV_0200_20150717_008875	ティルラ修道院で修道士ガース話す
QUEST_LV_0200_20150717_008876	集まっているモンスター退治
QUEST_LV_0200_20150729_008877	いっそピラコンから黒炭の粉を削り出した方が良かったかな？
QUEST_LV_0200_20150729_008878	我の封印を解いてくれ。{nl}フラスコメイジから束縛の結晶を集めて壊せば、この封印が解けるだろう。
QUEST_LV_0200_20150729_008879	私の姉妹であるヴァカリネに備えるよう伝えておきましたが…。{nl}引き裂かれた魔族が起こす波は彼女の足枷になるかもしれません。{nl}
QUEST_LV_0200_20150729_008880	もっと固いブラシが必要だ。悪いが、ごわごわした毛を集めてくれないか？{nl}この麻痺針をウェンディゴサーチャーに刺して気絶した隙を狙うんだ。
QUEST_LV_0200_20150729_008881	グリタはこれまで集めたものではまだ力が弱いので、炎の根源で強化しなければならないと言います。魔術師の塔2階にいるモンスターを退治して炎の根源を集めてください。
QUEST_LV_0200_20150729_008882	ピラコンを退治して黒炭の粉を入手する
QUEST_LV_0200_20150729_008883	コーデリアは黒炭の粉を集めてほしいようです。コーデリアのためにピラコンから黒炭の粉を集めてください。
QUEST_LV_0200_20150729_008884	ピラコンを退治して%s獲得
QUEST_LV_0200_20150729_008885	ドレイクから消えない火種収集
QUEST_LV_0200_20150729_008886	コーデリアは説明書をじっくり見て、ドレイクの中にある消えない火種を手に入れてほしいと言いました。ドレイクから消えない火種を集めて来てください。
QUEST_LV_0200_20150729_008887	モンスターを退治して聖櫃の欠片獲得
QUEST_LV_0200_20150729_008888	封印石はこのまま解き放たれたら散り散りになってしまうので、霊魂を入れる聖櫃が必要だと言います。魔術師の塔2階にいるモンスターから聖櫃の欠片を集めてください。
QUEST_LV_0200_20150729_008889	フラスコメイジを退治して束縛の結晶獲得
QUEST_LV_0200_20150729_008890	封印石の霊魂は封印石の束縛から解き放たれることを望んでいます。フラスコメイジから束縛の結晶を集め、破壊してください。
QUEST_LV_0200_20150729_008891	弱ったフクロウはモンスターたちが持ち去った仲間のフクロウを取り戻してほしいようです。イシュライ十字路の先にいるモンスターの隠居地でフクロウの彫像の痕跡を探してください。
QUEST_LV_0200_20150729_008892	巡礼者リリヤはお腹が空いたので食べられる物を何でもいいから持って来てほしいと言います。ケポから食べられそうな肉を手に入れてください。
QUEST_LV_0200_20150729_008893	ケパリの肉片入手
QUEST_LV_0200_20150729_008894	巡礼者ユリウスはお腹が空いて動けないようです。ケパリから食べられそうな肉を手に入れてください。
QUEST_LV_0200_20150729_008895	ケパリの肉片を集めました。巡礼者ユリウスに届けてください。
QUEST_LV_0200_20150729_008896	弱ったフクロウのところに戻る
QUEST_LV_0200_20150729_008897	箱から油を手に入れました。弱ったフクロウのところへ戻りましょう。
QUEST_LV_0200_20150729_008898	碑石の土を払う固いブラシが必要です。麻痺針をウェンディゴアーチャーに使用してごわごわした毛を集めてください。
QUEST_LV_0200_20150729_008899	ウェンディゴアーチャーの%s収集
QUEST_LV_0200_20150729_008900	碑石の上部が破壊されています。もしかしたらミノスたちが碑石の欠片を持っているかもしれません。
QUEST_LV_0200_20150729_008901	ユスタスがくれた錆の粉を撒き、反応を見せたハロウヴェンターシャーマンを退治して、沸き上がる液体を集めてください。
QUEST_LV_0200_20150729_008902	ヨーンスは水を浄化するためにアシラド草が必要だと言います。ダラム湿地かミニア浸水区域でアシラド草を集めてください。
QUEST_LV_0200_20150730_008903	嘘、または真実の聖地？(3)
QUEST_LV_0200_20150803_008904	Notice/チェイペラーの棘毒を集めました。次は茨の毒を集めてください。
QUEST_LV_0200_20150803_008905	Notice/茨の毒を集めました。次は泉に溜まった毒液を集めてください。
QUEST_LV_0200_20150803_008906	攻撃してくるウッドゴブリン退治
QUEST_LV_0200_20150803_008907	箱から%s入手
QUEST_LV_0200_20150811_008908	あなたのおかげで塔を取り戻すことができましたが、ここからが始まりです。{nl}私はあなたを守るためにこの塔で偽りの啓示を示し、魔族たちを引き寄せるつもりです。{nl}
QUEST_LV_0200_20150811_008909	あなたはライマの啓示に従い、大聖堂へ向かってください。{nl}確信しています。最後に勝つのはあなただということを。{nl}ただ、今のままでは力が足りません。{nl}カーティン森というフクロウの彫像が守る森があります。そこを通るといいでしょう。
QUEST_LV_0200_20150811_008910	こりゃ、勿体ないことをしてしまいましたな。{nl}一介の商人に過ぎない私になんかその虚しさが理解できるとは思いませんが。{nl}
QUEST_LV_0200_20150811_008911	しかし一つ頼みを聞いてくだされば、ダメにしたものほどではありませんが良いものを差し上げます。
QUEST_LV_0200_20150811_008912	大したことではありません。{nl}フェディミアンの外の大又の道から巡礼者の印を持ってきてくれればいいのですよ。
QUEST_LV_0200_20150811_008913	ダメなら仕方がありません。{nl}お互いにとっていい話だと思ったのですが。
QUEST_LV_0200_20150811_008914	持ってきてくれましたか。{nl}まぁ、無謀な挑戦があってこそ人生は楽しいものですよ。
QUEST_LV_0200_20150811_008915	そんな。私は一体何をしていたんだ？{nl}ああ、私のリリヤは…。{nl}
QUEST_LV_0200_20150811_008916	彼女のオルゴールとネックレスを奪って手下に渡し、私たちに貪食の呪いをかけました。{nl}まるでメイバーン様の教えを嘲笑うかのように。
QUEST_LV_0200_20150811_008917	ううっ…まだ呪いのせいで頭がくらくらします。{nl}話したいことはまだ沢山ありますが、それまで私の体が持つかどうか…。
QUEST_LV_0200_20150811_008918	ありがとうございます。だいぶ良くなりました。{nl}オルゴール…私のリリヤ…。彼女はもうこの世の人ではないのでしょう。{nl}
QUEST_LV_0200_20150811_008919	もしナクティスの手下に出くわしたら、彼女の仇を討ってください。{nl}その魔族が飲み込んだ私たちの愛の証…それは復讐のお礼としてあなたに差し上げます。{nl}
QUEST_LV_0200_20150811_008920	あれは大聖堂の祝福を受けたネックレスなので、これからの旅で役に立つでしょう。{nl}もう私にとってそのネックレスは何の意味もありませんから。
QUEST_LV_0200_20150811_008921	そう言ってくれるだけで嬉しいな。{nl}まずは俺の邪魔をするモンスターを退治してくれると助かる。
QUEST_LV_0200_20150811_008922	霊魂の光が透けて見えるモンスターに試してみてください。
QUEST_LV_0200_20150811_008923	この薬を使えば、モンスターのお腹の中にいる霊魂たちが発光します。{nl}そのモンスターを退治することで束縛されていた霊魂は解放されるでしょう。{nl}
QUEST_LV_0200_20150811_008924	束縛された霊魂たちを解放したんですか？{nl}やはり…この製造書の真の持ち主はあなただったんですね。{nl}
QUEST_LV_0200_20150811_008925	ありがとうございます。{nl}仲間たちはこの十字路の右側にある巣に連れていかれました。
QUEST_LV_0200_20150811_008926	炎の蒸気が現れるのは一瞬だから見つけるだけでも大変なんだけど、お願いね。
QUEST_LV_0200_20150811_008927	恨みのある霊魂たちを見たという話を聞いたことあります。{nl}女神アウシュリネのもとへいけなかった霊魂なのでしょうか？恐ろしい話ですね。
QUEST_LV_0200_20150811_008928	Notice/!/いきなりレッドフィッシャーマンの群れが現れました！#5
QUEST_LV_0200_20150811_008929	Notice/!/フクロウの彫像を飲み込んだマッシュウォートが現れました！#5
QUEST_LV_0200_20150811_008930	Notice/!/ルーツクリスタルがスタミナを吸収し、周辺にコアを飛ばしてしまいました！{nl}散らばったコアを探して破壊してください！#5
QUEST_LV_0200_20150811_008931	Notice/!/ルーツクリスタルが割れて散らばりました！本物を見つけて壊してください！#5
QUEST_LV_0200_20150811_008932	水晶を調べています/LOOK/2/TRACK_BEFORE/None
QUEST_LV_0200_20150811_008933	Notice/!/ルーツクリスタルから遺言状が落ちました#3
QUEST_LV_0200_20150811_008934	Notice/!/邪悪な気をまとうモンスターたちを退治してください！#7
QUEST_LV_0200_20150811_008935	祭壇を片付けています/SITGROPE/3/TRACK_BEFORE/None
QUEST_LV_0200_20150811_008936	Notice/祭壇を片付けました！#3
QUEST_LV_0200_20150811_008937	Notice/!/すでにテトラオックスが霊魂を飲み込んでしまったようです！#3
QUEST_LV_0200_20150811_008938	Notice/!/女神像は偽物でした！{nl}スパルナスホーンを退治してください！#5
QUEST_LV_0200_20150811_008939	心配なイシュライ十字路のフクロウ
QUEST_LV_0200_20150811_008940	グリタは、シールド稼働装置を再稼働させるには巨大なエネルギーが必要だと言います。グリタがくれた吸精石を床に置き、周辺のモンスターの生命力を充填してください。
QUEST_LV_0200_20150811_008941	弱ったフクロウはモンスターたちに連れ去られた仲間のフクロウを取り戻してほしいようです。イシュライ十字路の右側にあるモンスターの隠居地でフクロウの彫像の痕跡を探してください。
QUEST_LV_0200_20150811_008942	壊れたフクロウの欠片しか残っていませんでした。弱ったフクロウに壊れたフクロウの欠片を届けてください。
QUEST_LV_0200_20150811_008943	呪われたルーツクリスタル保護石破壊
QUEST_LV_0200_20150811_008944	束縛されていた霊魂と話す
QUEST_LV_0200_20150811_008945	ベイニカ祭壇を確認する
QUEST_LV_0200_20150811_008946	ベイニカ祭壇を確認してください。
QUEST_LV_0200_20150811_008947	ラミビエの絶壁のモンスター退治
QUEST_LV_0200_20150811_008948	ラミビエの絶壁がだいぶ安全になったようです。巡礼者オービルに話かけてください。
QUEST_LV_0200_20150811_008949	巡礼者オービルは友を埋葬するためにラミビエの絶壁に向かいました。彼と一緒にラミビエの絶壁に行ってください。
QUEST_LV_0200_20150904_008950	いよいよお前も一人前のロデレロだな。{nl}だが、コリメンシアは倒せるか？グリーン家の荘園にいる危険な奴なんだが。
QUEST_LV_0200_20150904_008951	欠点があると言うことは、伸びしろがあるということだ。{nl}心配するな。俺が鍛えてやるから。
QUEST_LV_0200_20150904_008952	きっと難しさを感じるだろう。{nl}だが、自分の欠点を知ることこそより高い境地のロデレロへの第一歩なんだ。{nl}
QUEST_LV_0200_20150904_008953	ディオニスは元々私たちクポルが止められる存在ではありません。{nl}少しでも遅れれば、ヴァカリネにも打つ手が無くなってしまいます。
QUEST_LV_0200_20150904_008954	ジャイアントレッドウッドゴブリンが激怒しています！
QUEST_LV_0200_20150904_008955	アイアンバウムを退治してください！
QUEST_LV_0200_20150904_008956	不吉なガイガラスを退治してください！
QUEST_LV_0200_20150904_008957	いきなりレッドフィッシャーマンの群れが現れました！
QUEST_LV_0200_20150904_008958	ネックレスをかけてみています
QUEST_LV_0200_20150904_008959	遺品の持ち主を死なせたウェアウルフを退治してください！
QUEST_LV_0200_20150904_008960	冥福を祈っています
QUEST_LV_0200_20150904_008961	ネックレスと一緒に遺品が消えました！
QUEST_LV_0200_20150904_008962	グリタが魔法陣を調べている間、{nl}妨害するモンスターたちを退治してください！
QUEST_LV_0200_20150904_008963	紅炎探知棒を使って火の壺を持つモンスターを探し、狩ってください！
QUEST_LV_0200_20150904_008964	紅炎の宝石が完成しました！
QUEST_LV_0200_20150904_008965	魔法陣確認中
QUEST_LV_0200_20150904_008966	この装置が塔の魔力を抑制しています。{nl}急いで破壊した方が良いでしょう。
QUEST_LV_0200_20150904_008967	女神ガビヤが言っていたカーティン森の入口に到着しました。
QUEST_LV_0200_20150904_008968	幸い、蜂の巣は無事のようです。
QUEST_LV_0200_20150904_008969	ドルジェンに頼まれた蜂蜜酒を見つけました。
QUEST_LV_0200_20150904_008970	カカシを設置してみましたが、モンスターは特に反応しません。
QUEST_LV_0200_20150904_008971	復元中
QUEST_LV_0200_20150904_008972	女神アウステヤの象徴が復元されました！
QUEST_LV_0200_20150904_008973	やっと自由になれる…
QUEST_LV_0200_20150904_008974	ついに、自由だ…
QUEST_LV_0200_20150904_008975	ついに…
QUEST_LV_0200_20150904_008976	束縛が解かれる…
QUEST_LV_0200_20150904_008977	これでいい…
QUEST_LV_0200_20150904_008978	自由だ。ついに自由だ…
QUEST_LV_0200_20150904_008979	解放してくれたこと、感謝する。
QUEST_LV_0200_20150904_008980	自由にしてくれてありがとう。
QUEST_LV_0200_20150904_008981	本当に解放されるのだな。
QUEST_LV_0200_20150904_008982	上の階へ行って女神ガビヤに会ってください！
QUEST_LV_0200_20150904_008983	フクロウの彫像を飲み込んだマッシュウォートが現れました！
QUEST_LV_0200_20150904_008984	リリヤが息を引き取りました…。{nl}彼女のお墓を作ってください。
QUEST_LV_0200_20150904_008985	リリヤのお墓を作りました。
QUEST_LV_0200_20150904_008986	腐った肉の山を漁っています
QUEST_LV_0200_20150904_008987	食糧の山から生ゴミを見つけました！{nl}これをVキーでモンスターに投げつけてから退治してください！
QUEST_LV_0200_20150904_008988	ルーツクリスタルの破壊に成功しました！{nl}周辺にかけられていた呪いが消え去ります！
QUEST_LV_0200_20150904_008989	ルーツクリスタルがスタミナをすべて吸収し、周辺にコアを飛ばしてしまいました！{nl}まずは散らばったコアを探して破壊してください！
QUEST_LV_0200_20150904_008990	コアをすべて破壊すると、水晶も壊れてしまいました。
QUEST_LV_0200_20150904_008991	揺らしています
QUEST_LV_0200_20150904_008992	メモが落ちました！
QUEST_LV_0200_20150904_008993	変異したルーツクリスタルを調べています
QUEST_LV_0200_20150904_008994	ルーツクリスタルが周辺を汚染しました！{nl}周辺の汚染源を踏まないように気を付けてください！
QUEST_LV_0200_20150904_008995	モンスターが持つコアを破壊しなければなりません！{nl}モンスターを倒してみましょう！
QUEST_LV_0200_20150904_008996	クリスタルのコアを破壊しました！{nl}汚染源が消え去ります。
QUEST_LV_0200_20150904_008997	ルーツクリスタルを調べる
QUEST_LV_0200_20150904_008998	ルーツクリスタルが割れてしまいました！本物を見つけて壊してください！
QUEST_LV_0200_20150904_008999	水晶を調べています
QUEST_LV_0200_20150904_009000	ルーツクリスタルから遺言状が落ちました。
QUEST_LV_0200_20150904_009001	変形したルーツクリスタルが消えました！
QUEST_LV_0200_20150904_009002	邪悪な気に包まれたモンスターたちを退治してください！
QUEST_LV_0200_20150904_009003	箱が消えました！
QUEST_LV_0200_20150904_009004	束縛された霊魂たちが祭壇周辺に現れました！{nl}憤怒する霊魂たちを説得して安らかに眠れるよう声を掛けましょう！
QUEST_LV_0200_20150904_009005	祈っています
QUEST_LV_0200_20150904_009006	束縛された霊魂たちのために周辺の花を集めて祭壇に捧げてください。
QUEST_LV_0200_20150904_009007	祭壇を片付けています
QUEST_LV_0200_20150904_009008	祭壇を片付けました！
QUEST_LV_0200_20150904_009009	霊魂を慰めました！
QUEST_LV_0200_20150904_009010	モンスターから経典のページを集めてください！
QUEST_LV_0200_20150904_009011	経典をのせています
QUEST_LV_0200_20150904_009012	すでにテトラオックスが霊魂を食べてしまったようです！
QUEST_LV_0200_20150904_009013	巡礼者の霊魂が消えました！
QUEST_LV_0200_20150904_009014	祭壇を調べています
QUEST_LV_0200_20150904_009015	モンスターを退治して冷たい体液を手に入れたら祭壇に撒いてください！
QUEST_LV_0200_20150904_009016	撒いています
QUEST_LV_0200_20150904_009017	祝福どころか、聖地が汚染されてしまいました。
QUEST_LV_0200_20150904_009018	聖地を調べています
QUEST_LV_0200_20150904_009019	聖地周辺にモンスター集まって来ます！
QUEST_LV_0200_20150904_009020	聖水を撒いています
QUEST_LV_0200_20150904_009021	聖地を浄化しました！
QUEST_LV_0200_20150904_009022	女神像はニセモノでした！スパルナスホーンを退治してください！
QUEST_LV_0200_20150904_009023	女神像が反応しません。{nl}製作者であるシャウレイ西の森の彫刻家テスラに会いに行きましょう。
QUEST_LV_0200_20150904_009024	起源の森の女神像について説明中
QUEST_LV_0200_20150904_009025	女神像の台座に大きな亀裂が入っています。{nl}まずは彫刻家テスラに言われた材料を集めましょう。
QUEST_LV_0200_20150904_009026	女神像修理中
QUEST_LV_0200_20150904_009027	女神像を調べています
QUEST_LV_0200_20150904_009028	修理した女神像が爆発して周辺に魔族の魔法陣が現れました！{nl}何が飛び出して来るか分からないので、魔法陣を壊してください！
QUEST_LV_0200_20150904_009029	印を取り出しています
QUEST_LV_0200_20150904_009030	印を見つけました！印を使って隠れているモンスターを探してください！
QUEST_LV_0200_20150904_009031	徽章を燃やしています
QUEST_LV_0200_20150904_009032	聖地が浄化されました。
QUEST_LV_0200_20150904_009033	清い水に祈りを捧げています
QUEST_LV_0200_20150904_009034	祈りを捧げると女神像が攻撃を受け始めました！{nl}女神像を締めつける棘の蔦を取り除いて四方から襲いかかってくるモンスターから女神像を守り抜いてください。
QUEST_LV_0200_20150904_009035	聖地に献花しています
QUEST_LV_0200_20150904_009036	聖地は特に反応していません！
QUEST_LV_0200_20150904_009037	浄化符を燃やしています
QUEST_LV_0200_20150904_009038	聖地は特に反応していません！
QUEST_LV_0200_20150904_009039	巡礼者を狙っていたアイアンバウムを倒しました！{nl}さあ、聖地で祝福を受けてください！
QUEST_LV_0200_20150904_009040	ウィタスが息を引き取りました。{nl}彼の墓を作ってください。
QUEST_LV_0200_20150904_009041	墓を作っています
QUEST_LV_0200_20150904_009042	ウィタスの墓を作りました。
QUEST_LV_0200_20150904_009043	墓碑を調べています
QUEST_LV_0200_20150904_009044	見つけた額縁には破れた絵の切れ端だけが残されていました。{nl}周辺のモンスターから残りの絵を取り戻してください。
QUEST_LV_0200_20150904_009045	絵の切れ端を集めて額縁に入れました！
QUEST_LV_0200_20150904_009046	箱には鍵がかかっています。{nl}周辺のモンスターを狩って鍵を手に入れてください！
QUEST_LV_0200_20150904_009047	箱の中から古いハンカチを見つけました。
QUEST_LV_0200_20150904_009048	壺を手に入れました！{nl}壺を兄弟の木の下に植えましょう！
QUEST_LV_0200_20150904_009049	樹液を撒いています
QUEST_LV_0200_20150904_009050	隠された空間を守っていたヴェローチャードが現れました！
QUEST_LV_0200_20150904_009051	何かの臭いを嗅ぎつけたモンスターたちが現れました！
QUEST_LV_0200_20150904_009052	もう一度掘っています
QUEST_LV_0200_20150904_009053	掘った場所からトリュフを獲得しました！
QUEST_LV_0200_20150904_009054	倒れた彫像を起こしています
QUEST_LV_0200_20150904_009055	火が弱いです！{nl}ハイゴブリンアーチャーから矢を奪って火に投げ入れてください！
QUEST_LV_0200_20150904_009056	霊魂召喚の聖書が完成しました。
QUEST_LV_0200_20150904_009057	装置の中から雫の形の宝石が出て来ました。
QUEST_LV_0200_20150904_009058	ナクティスの手下から丸い形の宝石を取り戻しました。
QUEST_LV_0200_20150904_009059	メイバーンの鍵を獲得しました！
QUEST_LV_0200_20150904_009060	証をはめています
QUEST_LV_0200_20150904_009061	薬回収中/
QUEST_LV_0200_20150904_009062	門を開けています
QUEST_LV_0200_20150904_009063	司祭の死体回収中
QUEST_LV_0200_20150904_009064	調合しています
QUEST_LV_0200_20150904_009065	ライアスの話を伝えています
QUEST_LV_0200_20150904_009066	これまでのことを話しています
QUEST_LV_0200_20150904_009067	ホネスがくれたメモを読んでください！
QUEST_LV_0200_20150904_009068	設置中
QUEST_LV_0200_20150904_009069	空間魔石を投入しています
QUEST_LV_0200_20150904_009070	破壊しています
QUEST_LV_0200_20150904_009071	空間魔石を融合しています
QUEST_LV_0200_20150904_009072	空間魔石を使用しています
QUEST_LV_0200_20150904_009073	遺産を確認しています
QUEST_LV_0200_20150904_009074	危険な気配を感じます！{nl}クポル ヴィータのところへ戻って状況を伝えてください。
QUEST_LV_0200_20150904_009075	観察しています
QUEST_LV_0200_20150904_009076	戦利品袋の中から、拓本を作れそうな材料を見つけました
QUEST_LV_0200_20150904_009077	碑石を調べています
QUEST_LV_0200_20150904_009078	突然モンスターが襲撃してきました！{nl}先にモンスターを倒さないと拓本を作れません！
QUEST_LV_0200_20150904_009079	草の汁を塗っています
QUEST_LV_0200_20150904_009080	拓本がうまく作れません。{nl}このことをアドリユスに伝えてください。
QUEST_LV_0200_20150904_009081	拓本を作りました！
QUEST_LV_0200_20150904_009082	土の塊の中に、何かが固まった状態で入っています。{nl}周りの材料を活用してトンカチを作りましょう！
QUEST_LV_0200_20150904_009083	土の塊を割るにはトンカチが必要です！
QUEST_LV_0200_20150904_009084	土の塊を割ると、裏返った碑石が現れました！
QUEST_LV_0200_20150904_009085	碑石を調べています
QUEST_LV_0200_20150904_009086	碑文の書かれた部分が地面を向いています！{nl}碑文が読めるように石碑をひっくり返しましょう。
QUEST_LV_0200_20150904_009087	石碑は破壊され、根元だけが残っています。{nl}周辺のミノスから碑石の欠片を回収できるかもしれません。
QUEST_LV_0200_20150904_009088	碑石の欠片を探してください！
QUEST_LV_0200_20150904_009089	接着剤なしでは復元が難しそうです。{nl}接着剤についてはクラペダの鍛冶屋に尋ねてみましょう！
QUEST_LV_0200_20150904_009090	鍛冶屋のアドバイスに従って接着剤を作ってください。
QUEST_LV_0200_20150904_009091	碑石をつなぎ合わせています
QUEST_LV_0200_20150904_009092	碑石の復元に成功しました！
QUEST_LV_0200_20150904_009093	碑文を読んでいます
QUEST_LV_0200_20150904_009094	蔦をかき分けています
QUEST_LV_0200_20150904_009095	蔦が固すぎて手を切ってしまいました。{nl}丸ごと燃やしてしまう方法を探してみましょう。
QUEST_LV_0200_20150904_009096	燃やすまで不用意に触らないでください！
QUEST_LV_0200_20150904_009097	蔦に火をつけています
QUEST_LV_0200_20150904_009098	碑文を読んでいます
QUEST_LV_0200_20150904_009099	碑石の内容をまとめておく必要がありそうです。{nl}クラペダのバイボラの翼を訪ねて聞いてみましょう。
QUEST_LV_0200_20150904_009100	右側へ行ってレバーを順に引かなければなりません。
QUEST_LV_0200_20150904_009101	レバーを引いてください。
QUEST_LV_0200_20150904_009102	金属板を手に入れました。
