QUEST_LV_0100_20150317_000001	警戒兵
QUEST_LV_0100_20151223_011340	薬草を採っていて変な光景を見たんです。{nl}確かに人間だったと思うんですけど…ウィザードが魔族に命令してたんですよ。{nl}
QUEST_LV_0100_20151223_011341	ビックリしてたら気付かれて全力で逃げたんですが…。{nl}あんまり怖いからオルシャまで逃げたかったのに、あちこちに魔族がいて戻れませんでした。
QUEST_LV_0100_20151223_011342	幸いカース様は無事なようですね。{nl}門を開く方法を知ってるといいんですが…。
QUEST_LV_0100_20151223_011343	何ヶ月か前からクニドスの森に魔族が現れ始めたんです。{nl}この辺りは良い薬草が多かったけど…もう来られませんね。
QUEST_LV_0100_20151223_011344	本当にありがとうございます。{nl}ところで、クロア村の人たちはみんなどこへ行ったんですか？
QUEST_LV_0100_20151223_011345	魔族の薬草を採るって話を聞いたことはありますか？{nl}私は薬草師の仕事を長い事やってますが、あんなのは初めて見ましたよ。{nl}
QUEST_LV_0100_20151223_011346	魔族から逃げ回るのにもう疲れ果てましたが…。{nl}私だって一端の薬草師なので、気になるんです。{nl}
QUEST_LV_0100_20151223_011347	すみませんが、あれが何の薬草なのか知りたいので、少しだけ採って来てもらえませんか？{nl}
QUEST_LV_0100_20151223_011348	隠れていたからよく見えなかったんですが、他の草よりも小さくて細く裂けてたみたいです。{nl}右側にあるネネバの庭ですね。
QUEST_LV_0100_20151223_011349	人間らしきウィザードが魔族に命令してるのを見たんです。{nl}だって、人間と魔族ですよ？
QUEST_LV_0100_20151223_011350	花が散っていたから分かりませんでしたが…。{nl}この薬草はトリカブトです。{nl}
QUEST_LV_0100_20151223_011351	少しだけ使う分には薬になりますが、大量に摂取すれば致命的な毒になります。{nl}これで一体何を…。
QUEST_LV_0100_20151223_011352	魔族は恐ろしいですが、薬草師としてこのまま放っておくわけにはいきません。{nl}トリカブトを除去した方が良いと思います。{nl}
QUEST_LV_0100_20151223_011353	ロクタヌンの体液を集めてください。{nl}酸性の成分がたっぷり入っているので、トリカブトに撒けば枯れるはずです。
QUEST_LV_0100_20151223_011354	魔族は恐ろしいですが…。{nl}だからって魔族の思い通りにはさせたくないんです。{nl}
QUEST_LV_0100_20151223_011355	ありがとうございます。{nl}これだけあれば足りるでしょう。
QUEST_LV_0100_20151223_011356	トリカブトは貴重なのでもったいないですけど…、魔族に悪用されるよりはマシです。{nl}もう一度ネネバの庭へ行って魔族の体液を隅々まで撒いて来てください。
QUEST_LV_0100_20151223_011357	私にできることはこれくらいしかありませんから。{nl}少し撒いただけでもすぐに枯れるはずです。{nl}
QUEST_LV_0100_20151223_011358	きっとあのウィザードの仕業に違いありませんよ。{nl}魔族に命令する姿をこの目で見ましたから。{nl}
QUEST_LV_0100_20151223_011359	手伝ってくれて本当にありがとうございました。{nl}これでトリカブトはもうありません。悪用もできないでしょう。{nl}
QUEST_LV_0100_20151223_011360	こんなに大きなワラビ…見たことありますか？{nl}この一帯はワラビで有名ですけど、ここで生まれ育った私もこんなのは初めて見ました。{nl}
QUEST_LV_0100_20151223_011361	さっきテスが言っていた言葉、覚えてますか？{nl}巨大ワラビが死の胞子を吐き出すって…。{nl}
QUEST_LV_0100_20151223_011362	きっとこれがテスの言ってたワラビなんだと思います。{nl}そのウィザードの計画を阻止する方法も考えなければいけませんね。{nl}
QUEST_LV_0100_20151223_011363	ワラビの横に付いてる装置は…重要な鍵になりそうですね。{nl}もしかしたら、近くに実験室があるのでしょうか？
QUEST_LV_0100_20151223_011364	考えなしに兄と村の人たちを助けに行くのは無謀すぎます。{nl}気持ちは焦りますが…下手に動いたらもっと大変な状態になるかもしれません。
QUEST_LV_0100_20151223_011365	何か見つかりましたか？{nl}
QUEST_LV_0100_20151223_011366	やっぱり…実験室があったんですね。{nl}もしかしたら、あの装置の情報もあるかもしれません。
QUEST_LV_0100_20151223_011367	ありがとうございます。{nl}あなたには最初から助けてもらってばかりですね…。{nl}
QUEST_LV_0100_20151223_011368	テスが言っていたウィザードはあの人みたいですね。{nl}適合者…魔族が私を探しているとしても、兄や村の人を置いて逃げるわけにはいきません。
QUEST_LV_0100_20151223_011369	とりあえず、あの装置の中に入っている赤い液体の正体が分からないので、むやみに壊すのは危険でしょう。{nl}実験室で見つけた日誌…ちょっと読んでみますね。{nl}
QUEST_LV_0100_20151223_011370	えーっと…{nl}
QUEST_LV_0100_20151223_011371	装置を停止させｒｙのは難しくなさそうですね。{nl}動力を供給する装置が他にあって…その動力源さえ無くせばいいみたいです。{nl}
QUEST_LV_0100_20151223_011372	でも気を付けないと。{nl}動力供給装置は強力な冷気の魔法陣に守られてるらしいんです。
QUEST_LV_0100_20151223_011373	冷気の魔法陣をどうやって解除するのかは書いてありません。{nl}そうだ、モンスターをエサに使ってみたらどうでしょうか？{nl}
QUEST_LV_0100_20151223_011374	冷気の魔法陣におびき寄せてから、素早く動力源を外すんです。
QUEST_LV_0100_20151223_011375	あの装置の中にある赤い液体…。見ているだけで気分が悪くなりそうです。{nl}一体正体は何なのでしょうか…。
QUEST_LV_0100_20151223_011376	成功しましたか？{nl}
QUEST_LV_0100_20151223_011377	日誌の内容が正しければ、しばらく巨大ワラビの心配はしなくても良いはずです。{nl}さあ、ノヴァハ修道院へ行きましょう。
QUEST_LV_0100_20151223_011378	警備がかなり厳しいですね。{nl}魔族がノヴァハ修道院の入口を見張っています。{nl}
QUEST_LV_0100_20151223_011379	兄や村の人たちは…無事ですよね？{nl}騒がず静かに退治してください。{nl}
QUEST_LV_0100_20151223_011380	できるだけ静かに退治してください。{nl}
QUEST_LV_0100_20151223_011381	きっとまだ使い道があるから、村の人や兄を生かしていますが…{nl}私たちのせいで最悪の結末を迎える可能性もあるんです。
QUEST_LV_0100_20151223_011382	お怪我はありませんか？{nl}本当に強いんですね。{nl}
QUEST_LV_0100_20151223_011383	さあ、ノヴァハ修道院へ行きましょう。{nl}どうか、みんな無事で…。
QUEST_LV_0100_20151223_011384	薬草師タラス
QUEST_LV_0100_20151223_011385	助けてくれ！{nl}魔族から逃げてる途中で罠にかかったんだ！{nl}
QUEST_LV_0100_20151223_011386	頼む！{nl}自分の力ではこの罠を外せないんだ…。
QUEST_LV_0100_20151223_011387	ありがとう。幸い、足首は動きそうだな。{nl}あんたがいなかったら、魔族に捕まってただろう。
QUEST_LV_0100_20151223_011388	逃げる前に、変な光景を見たんだ。{nl}魔族が釜に毒草を入れて何かを作ってた。{nl}
QUEST_LV_0100_20151223_011389	魔族が毒草を使うのも初めて見たが、良い事ではないだろう。{nl}だから壊そうとして…結局このザマだ。
QUEST_LV_0100_20151223_011390	あの釜は簡単には壊せない。 {nl}シールドみたいなのに守られてるらしいからな。{nl}
QUEST_LV_0100_20151223_011391	シールドが発生する度に光る結界石があったんだ。{nl}きっとあれを先にどうにかする必要があると…思う。
QUEST_LV_0100_20151223_011392	俺みたいな小心者にだってそれくらいは分かるんだよ。{nl}あの釜は絶対に良くない物だってな。{nl}
QUEST_LV_0100_20151223_011393	ありがとう。これで罠の仕返しはできたぞ。{nl}魔族の邪魔をしたと思うと、何だか大変なことをしたような気分だ。
QUEST_LV_0100_20151223_011394	ああ、最後にもう一つ頼みたいことがある。{nl}釜を壊しても、材料が残ってればまた同じことの繰り返しだろう。{nl}
QUEST_LV_0100_20151223_011395	だから、材料も一つ残らずすっきり燃やしてやりたいんだよ。{nl}サロット低地帯だ。奴らにひと泡吹かせてやってくれ。
QUEST_LV_0100_20151223_011396	魔族はその存在そのものが許されてないんだろう？{nl}女神が消えたのもきっと魔像のせいに違いない。
QUEST_LV_0100_20151223_011397	ああ、すっきりした。本当にありがとう。{nl}英雄ごっこはこれくらいにして、そろそろ俺も自分の身の安全を考えるよ。
QUEST_LV_0100_20151223_011398	この門の向こうから人の声がします。{nl}きっと村人たちがここに閉じ込められているんでしょう。{nl}
QUEST_LV_0100_20151223_011399	でも、門がビクともしなくて…。鍵も見当たらないのに…。{nl}どうしましょう…。{nl}
QUEST_LV_0100_20151223_011400	この門さえ開けば…。どうしよう…。
QUEST_LV_0100_20151223_011401	あなたとロゼさんがいなければ…{nl}私はワラビに覆われていたかもしれません。
QUEST_LV_0100_20151223_011402	もうお終いだ…と思ったら、あなたが助けに来てくれました。{nl}女神はまだ我らを見捨ててはいなかったのですね。
QUEST_LV_0100_20151223_011403	クロア村の住民
QUEST_LV_0100_20151223_011404	そこの人！{nl}私たちを助けに来てくれたんですか？{nl}
QUEST_LV_0100_20151223_011405	門を開く方法？{nl}それなら急いでカース様を助けてください！{nl}
QUEST_LV_0100_20151223_011406	魔族がアンケル小会堂へ連行して行ったんです！{nl}カース様なら、門を開く方法を知っているはずです！
QUEST_LV_0100_20151223_011407	カース様が門を開く方法を知っているみたいですね。{nl}ああ、村の人たちを救えるかしら？
QUEST_LV_0100_20151223_011408	警備が緩んでいる間に、急いで村の人たちを救出しなければなりません。
QUEST_LV_0100_20151223_011409	アンケル小会堂なら…この上の方です。{nl}とりあえず、村の人たちが言う通りにカース様を助けましょう。{nl}
QUEST_LV_0100_20151223_011410	先に行っていますね。{nl}アンケル小会堂で会いましょう。
QUEST_LV_0100_20151223_011411	魔族がこちらを見ていました。{nl}急いで村の住民たちと一緒に脱出しましょう。
QUEST_LV_0100_20151223_011412	我々を捕まえに魔族がこちらへ来るはずです。{nl}急いで村の住民を助けて脱出しましょう。
QUEST_LV_0100_20151223_011413	よく分かりませんが、すごく難しそうですね。{nl}それでもカース様なら方法を知っているはずです。
QUEST_LV_0100_20151223_011414	この門さえ開けば、村の住民たちを連れて出られるのですが…。{nl}魔族にもすぐ気付かれるでしょう。
QUEST_LV_0100_20151223_011415	ロゼさんはお兄さんを探しているようですが…残念ながら、私は見かけていません。{nl}きっと私が以前捕らわれていた別館の方へ連れて行かれたのでしょう。
QUEST_LV_0100_20151223_011416	助けてくださってありがとうございました。{nl}あなたとロゼさんを見ていたら、まるで消えた女神が戻って来たような気がしましたよ。{nl}
QUEST_LV_0100_20151223_011417	門を開ける方法は…私が自分で見る必要があります。{nl}では、門の前で会いましょう。
QUEST_LV_0100_20151223_011418	助けてください…。{nl}身体に少しも力が入らない…。
QUEST_LV_0100_20151223_011419	もう…連れて行かれたくない…。{nl}怖い…あれは…。
QUEST_LV_0100_20151223_011420	おや…部屋の中からはよく見えませんでしたが、外からははっきり見えますね。{nl}門に何か細工をしたようです。{nl}
QUEST_LV_0100_20151223_011421	このかすかに刻まれた魔法陣は…魔族にだけ反応するようになっています。{nl}つまり、魔族であることを証明できれば、門を開けるはずです。{nl}
QUEST_LV_0100_20151223_011422	グリーンアパリションのエキスならば十分でしょう。{nl}その間に私はこの魔法陣の分析を進めておきます。
QUEST_LV_0100_20151223_011423	数日前のことですが…{nl}突然修道院を襲ってきた魔族たちに抵抗する間もなく捕らわれてしまいました。{nl}
QUEST_LV_0100_20151223_011424	神樹の日のせいでこのノヴァハ修道院を維持できなかったのが良くなかったのでしょう。{nl}修道院に残っていた人たちは私を含めて数名しかいませんでしたから。{nl}
QUEST_LV_0100_20151223_011425	一人残らず魔族に捕らわれて別館に閉じ込められました。{nl}魔族は何も要求しなかったので、理由も分からないまま祈ることしかできず…。{nl}
QUEST_LV_0100_20151223_011426	時々一人ずつ外に連れ出された修道士たちは…二度と戻りませんでした。{nl}私を含めて残り三人になった時、魔族は私を連れ出してこの閲覧室に閉じ込めたのです。{nl}
QUEST_LV_0100_20151223_011427	その後すぐにクロア村の人々が…連れて来られました。{nl}その後も一人ずつ連れ出されては戻らず…。{nl}
QUEST_LV_0100_20151223_011428	そして私の番が来た時…あなたが現れたのです。{nl}
QUEST_LV_0100_20151223_011429	ちょっと！{nl}そこでボーっとしてないで、早く逃げて！{nl}
QUEST_LV_0100_20151223_011430	ここには魔族が現れるんですよ！
QUEST_LV_0100_20151223_011431	一人で仲間を助けるのは絶対に無理だし、オルシャまで走って行こうかとも考えてたんです。{nl}…あなた、本当にすごいですね。
QUEST_LV_0100_20151223_011432	村の人たちを守れなかった自分が本当に情けないです。{nl}ああ、女神よ…私を許したまえ…。
QUEST_LV_0100_20151223_011433	もう傭兵でも雇うしかないな。どんどん仕事をしにくくなってる。
QUEST_LV_0100_20151223_011434	仲間たちの状態が良くなるまでは動けないだろう。
QUEST_LV_0100_20151223_011435	ここからでも感じるほどにエキスをたくさん集めたようですね。{nl}ちょうど私も準備ができたところです。
QUEST_LV_0100_20151223_011436	ロゼが心配する気持ちは分かりますが…{nl}このままじゃ、ロゼの故郷の人たちに会う前に、財産どころか命まで失くしちゃいますよ。
QUEST_LV_0100_20151223_011437	魔法陣を分析したところ、門を開くのは難しくないようです。{nl}問題は時間…かなりかかるかもしれません。{nl}
QUEST_LV_0100_20151223_011438	それに、エキスを集めるために魔族と戦ったので、魔族も気付いているはず。{nl}門を開くまで、私を守ってください。
QUEST_LV_0100_20151223_011439	できました！{nl}これで…ふぅ…。一安心です。{nl}
QUEST_LV_0100_20151223_011440	ロゼさんはお兄さんを探しているようですが…残念ながら、私は見かけていません。{nl}きっと私が以前捕らわれていた別館の方へ連れて行かれたのでしょう。{nl}
QUEST_LV_0100_20151223_011441	私も一緒に行ってお手伝いしたいですが…申し訳ありません。{nl}今の状態では私はお役に立てそうもありませんし、村の方々の中には急いで治療しなければならない人もいるのです。{nl}
QUEST_LV_0100_20151223_011442	ロゼさんがお兄さんを見つけられることを女神に祈りましょう。{nl}どうか、女神のご加護がありますように…。
QUEST_LV_0100_20151223_011443	兄がノヴァハ別館に捕らわれているかもしれないんですか？{nl}どうしてうちの兄だけが…。{nl}
QUEST_LV_0100_20151223_011444	とりあえず、村の人たちを脱出させましょう。{nl}兄は…無事です。…きっと…。{nl}
QUEST_LV_0100_20151223_011445	なんだか、魔族の警戒が少し緩んだような…。{nl}ちょっと変な感じがしますが、この隙に急いで動きましょう。
QUEST_LV_0100_20151223_011446	なんだか、魔族の警戒が少し緩んだような…。{nl}ちょっと変な感じがしますが、この隙に急いで動きましょう。
QUEST_LV_0100_20151223_011447	大丈夫ですか？{nl}警戒が緩んだと思ったのに…。ちょっと気を引き締めた方が良さそうですね。{nl}
QUEST_LV_0100_20151223_011448	閲覧室の中にいた人たちはみんな無事脱出しました。{nl}さあ、別館へ…兄を助けに行きましょう。
QUEST_LV_0100_20151223_011449	助けてください…。{nl}魔族が…私に変な実験をして、ここへ捨てて行ったんです…。{nl}
QUEST_LV_0100_20151223_011450	逃げたくても力が入らなくて、立つことさえできません…。{nl}ただ隠れて女神のもとへ行く日を待つことしか…。
QUEST_LV_0100_20151223_011451	ああ、少し生き返ったような気がします。{nl}本当にさっきまでは視界も曇って来て、もう終わりだと思っていましたから…。
QUEST_LV_0100_20151223_011452	あの実験は本当に…。{nl}もうここには一秒もいたくありません。{nl}
QUEST_LV_0100_20151223_011453	私を連れて逃げてほしいとは言いません！{nl}私が逃げられるように周辺の魔族を退治してもらえませんか？
QUEST_LV_0100_20151223_011454	魔法陣に入れてみたり、何かを食べさせてみたり…。{nl}本当に恐ろしかったです。
QUEST_LV_0100_20151223_011455	ありがとうございます。本当にありがとうございます！{nl}他の村人たちも…無事ですよね？{nl}
QUEST_LV_0100_20151223_011456	私はここから脱出します。{nl}女神のご加護がありますように！
QUEST_LV_0100_20151223_011457	実験被害者フィルス
QUEST_LV_0100_20151223_011458	私が生き残ったところで何の意味があるのでしょうか…。{nl}もう誰もいないのに…。{nl}
QUEST_LV_0100_20151223_011459	すぐに逃げてください…。{nl}ここでは恐ろしい実験が行われているんです…。
QUEST_LV_0100_20151223_011460	人の仮面をかぶって…あんな恐ろしい実験をできるなんて…。{nl}あれじゃ、魔族よりも酷い…。
QUEST_LV_0100_20151223_011461	遺品を集めてくださってありがとうございます。{nl}修道院を脱出したら、この遺品で墓を作ろうと思います。
QUEST_LV_0100_20151223_011462	実験被害者ヒルベス
QUEST_LV_0100_20151223_011463	私はこれから…どうやって生きて行けば…。{nl}もう生きて行く自信がありません…。
QUEST_LV_0100_20151223_011464	いっそあの時も逃げなければ良かった。{nl}家族を失って生きる意味など…。
QUEST_LV_0100_20151223_011465	あなたは…クロア村の人ではありませんね。{nl}このノヴァハ修道院の修道士でもないようだし…。{nl}
QUEST_LV_0100_20151223_011466	お願いがあります。私の友人や家族…隣人たち…。{nl}みんな魔族の残酷な実験のせいで女神のもとへ旅立ってしまいました。{nl}
QUEST_LV_0100_20151223_011467	魔族に復讐したいのですが、それよりも亡くなった人たちを弔う方が先でしょう。{nl}村人たちの遺品を見つけたら、私に届けてもらえませんか？
QUEST_LV_0100_20151223_011468	一つ残念なのは…もう二度と村へ戻れないことですね。{nl}行商人の仕事もできないでしょう。ああ、仲間たちが恋しいな…。
QUEST_LV_0100_20151223_011469	別館にここですね…これは広いですね。{nl}手分けして兄を探した方が効率がいいかもですね。
QUEST_LV_0100_20151223_011470	でも、一人でこんな広いところを探させるわけには…。{nl}…そっか。{nl}
QUEST_LV_0100_20151223_011471	魔族は適合者である私を探しているはず…。{nl}私が下手に動いて捕まれば、あなたにとってもとんだお荷物ですよね。{nl}
QUEST_LV_0100_20151223_011472	ここで大人しく待っています…。{nl}兄を見つけたら、すぐに知らせてくださいね。{nl}{nl}
QUEST_LV_0100_20151223_011473	アンネ
QUEST_LV_0100_20151223_011474	本当に大事にしてたネックレスだけど…。{nl}でも、ロゼお姉ちゃんがそれで私たちを見つけてくれたんだから、後悔していません。
QUEST_LV_0100_20151223_011475	ロゼお姉ちゃんはどこですか？{nl}エドムンダスさんは？
QUEST_LV_0100_20151223_011476	適合者っていう言葉がずっと引っかかってるんです…。{nl}兄は…無事ですよね？
QUEST_LV_0100_20151223_011477	アロンアス
QUEST_LV_0100_20151223_011478	魔族にさらわれた記憶のせいでみんな苦しんでいます。{nl}まだ戻っていない人たちもいますし…。
QUEST_LV_0100_20151223_011479	あなたとロゼのおかげで命は助かりましたが…{nl}まもう以前の村には戻らないでしょう。
QUEST_LV_0100_20151223_011480	アペガ儀典室の近くで兄を見つけたんですか？{nl}良かった！…でもどうして一人で戻ってきたんです？{nl}
QUEST_LV_0100_20151223_011481	変な装置に拘束されていた？{nl}早く行きましょう！早く兄を助けなきゃ！{nl}アペガ儀典室はあっちね！
QUEST_LV_0100_20151223_011482	一体どういうことだ…。{nl}染料を大量に撒いたってこんな赤くはならないはず…。
QUEST_LV_0100_20151223_011483	まったく…若者たちのやることはよう分からんな。{nl}わしが出ればすぐに解決するのに、じっとしてろとばかり言いおる…。
QUEST_LV_0100_20151223_011484	わしがいなければ、何の手がかりも見つからんかっただろう。{nl}最初にこの神殿跡が怪しいってことを発見したのもこのわしなんだ。{nl}
QUEST_LV_0100_20151223_011485	それなのに、あやつらはただじっとしてろ、静かにしてろばかり…。{nl}まったく…もどかしくてたまらん。
QUEST_LV_0100_20151223_011486	何これ…。兄さん、すごく苦しんでる…。{nl}ウィザードが兄を逃げられないようにこんな装置を…！{nl}
QUEST_LV_0100_20151223_011487	ウィザードがアペガ儀典室の中に入ってから、立っていることもできなくなったって…。{nl}私は兄の傍で様子を見ているので、とにかくこれを止めてください！急いで！
QUEST_LV_0100_20151223_011488	兄の顔色がどんどん悪くなってるの…。{nl}変なシールドのせいでこれ以上近寄れない…。
QUEST_LV_0100_20151223_011489	兄は…もう大丈夫…。{nl}さっきはごめんなさい…本当に兄がどうにかなっちゃうんじゃないかと…。
QUEST_LV_0100_20151223_011490	君のおかげで助かった。本当にありがとう。{nl}結果的に、わしのおかげで良いものを発見したんだろう？だったらいいんだ。
QUEST_LV_0100_20151223_011491	ここに誰が何をしたのか分からんが、見つけたらただじゃおかん。{nl}ああ、もどかしい。
QUEST_LV_0100_20151223_011492	ロゼ…ロゼが！！{nl}だから逃げろと言ったじゃないか！なぜ言うことを聞かなかった…！{nl}
QUEST_LV_0100_20151223_011493	私はロゼをおびき出すためのエサだったんです。{nl}やっと会えたのに…ああ…会いたくなかった…。{nl}
QUEST_LV_0100_20151223_011494	私たちはここより南の方にある村から来ました。{nl}水がこうなってしまった原因を調べに来たんです。
QUEST_LV_0100_20151223_011495	おじいちゃんが元気なのは嬉しいんですけど…ここはどこもモンスターだらけで危ないんです。{nl}心配する気持ちを分かってくれないかな…。
QUEST_LV_0100_20151223_011496	おじいちゃんが何かトラブルを起こすかもしれないので、急いで追ってください。{nl}少しだけ待ってあなたと一緒に行けば良かったのに…。
QUEST_LV_0100_20151223_011497	あのウィザードは…私にした実験をロゼにもするでしょう。{nl}ロゼを利用して巨大ワラビの胞子を撒き散らすつもりなんです。{nl}
QUEST_LV_0100_20151223_011498	とりあえず、私を解放してもらえますか。{nl}ロゼを助け出すために…どうか、お願いします。
QUEST_LV_0100_20151223_011499	あなたのおかげでみんな無事でした。{nl}本当はちょっと無謀じゃないかと思ってたんです。
QUEST_LV_0100_20151223_011500	そんな…その器というのがヒドラだったなんて…。{nl}一体誰が何のためにヒドラにあんな宝石を埋め込んだんでしょうか？
QUEST_LV_0100_20151223_011501	近くにこれを解除できる装置がきっとあるはずです。{nl}ロゼが何かされる前に急いで行かなくては…お願いします。急いで。
QUEST_LV_0100_20151223_011502	助けてくれたことは感謝いたします…。{nl}身体に力が少しも入らない…しかし、私はロゼを助けに行かなくては…。{nl}
QUEST_LV_0100_20151223_011503	…お願いがあります。ロゼの救出に力を貸してくださいませんか。{nl}初対面でこんな無理なお願いをして本当に面目ないですが…。{nl}
QUEST_LV_0100_20151223_011504	でも ロゼを…たった一人しかいない大事な妹を失うわけにはいきません。{nl}私の面子など、それに比べたら大したことではないのです。
QUEST_LV_0100_20151223_011505	ロゼがどこに連れて行かれたのかは分かっています。{nl}修道院の本院へ…私に力を貸していただけるならば、どうかそこへお越しください。
QUEST_LV_0100_20151223_011506	あなたは…あのウィザードの仲間ではないようですね。{nl}どうか、見て見ぬ振りをせず…助けてくださいませんか…。{nl}
QUEST_LV_0100_20151223_011507	魔族から命からがら逃げて来たんです。{nl}でも、あの実験のせいで…身体はボロボロになってしまったようで…。{nl}酷い実験でした…。
QUEST_LV_0100_20151223_011508	テベティ小回廊に薬草のリュックがあるはずです。{nl}そのリュックを探してきてください…。お願いします。{nl}
QUEST_LV_0100_20151223_011509	私を待っている家族がいるんです。{nl}何が何でも戻らないと…。
QUEST_LV_0100_20151223_011510	これに間違いありません。本当にありがとうございます。{nl}どうにかして歩けるようにさえなれば…。
QUEST_LV_0100_20151223_011511	痛いのは仕方ありませんが、それでも歩ける程度にはなったようです。{nl}すぐにでも家族を助けに行かなくては。
QUEST_LV_0100_20151223_011512	え？私の家族を探してくれるんですか？{nl}本当に？そんな、なんてありがたい…。{nl}
QUEST_LV_0100_20151223_011513	家族は崩れた大回廊へ連れて行かれました。{nl}無事だと良いのですが…。
QUEST_LV_0100_20151223_011514	必ず戻ると約束したんです。{nl}絶対に…無事なはず…。
QUEST_LV_0100_20151223_011515	ちょっと待ってください…その手に持っているのは…。{nl}
QUEST_LV_0100_20151223_011516	これは妻のブレスレット…こっちは両親の…！{nl}なぜだ！なぜ私にこんな試練を…。女神は残酷すぎる…。
QUEST_LV_0100_20151223_011517	最後のお願いです…。{nl}こんな恐ろしい実験を放置するわけにはいけません。{nl}
QUEST_LV_0100_20151223_011518	エルチェ経堂に残っている魔族の実験施設を全部破壊してください。{nl}もう私のような被害者が生まれないように…お願いします。{nl}
QUEST_LV_0100_20151223_011519	二度と…こんな恐ろしい実験をさせてはいけません…。{nl}私のような悲しみを味わう人がもう現れないように…。
QUEST_LV_0100_20151223_011520	ありがとうございます…。{nl}でも…私はこれから…どう生きて行けばいいのか…。
QUEST_LV_0100_20151223_011521	修道士アベルス
QUEST_LV_0100_20151223_011522	私は…もう手遅れです。{nl}旅のお方、命が残り少ない私のために、少し時間をいただけませんか…？{nl}
QUEST_LV_0100_20151223_011523	このノヴァハ修道院は私が人生を聖職の道に捧げた場所…。{nl}魔族に穢された修道院をそのままにしては安心して死ぬこともできません。{nl}
QUEST_LV_0100_20151223_011524	どうか、私が修道院を浄化できるよう力を貸してください。{nl}ガイレ礼拝所にある、聖物の破片を…。
QUEST_LV_0100_20151223_011525	最後の任務を果たさせてください。{nl}修道院が穢されたまま女神のもとへ行くわけにはいかないのです。
QUEST_LV_0100_20151223_011526	確かに聖物の破片ですね…。{nl}もう目はほとんど見えないのですが、神聖な気を感じられます…。
QUEST_LV_0100_20151223_011527	もう…時間がありませんね…。{nl}
QUEST_LV_0100_20151223_011528	私の最後の力を使って…聖物を修復しました。{nl}これを修道院のとある場所へ設置してください…。
QUEST_LV_0100_20151223_011529	…クロア村の人たちには…本当に申し訳ないです…。{nl}守ってあげたかった…。
QUEST_LV_0100_20151223_011530	完全に浄化された修道院をこの目で見たかったですが…その時間は残されていないのですね…{nl}このまま…少し…休みますね…。
QUEST_LV_0100_20151223_011531	本当に来てくれましたのですか。{nl}私の無理な頼みを聞いてくれて、本当にどう感謝すれば良いやら…。{nl}
QUEST_LV_0100_20151223_011532	ロゼはきっと私がされた実験と同じことをされるでしょう。{nl}
QUEST_LV_0100_20151223_011533	ロゼを助けるためにウィザードのところへ直行するのも一つの方法ですが…、{nl}ロゼが実験に耐えられる保証はありません。{nl}
QUEST_LV_0100_20151223_011534	ですから、実験を阻止しなけれななりません。{nl}ウィザードの装置を探して破壊すれば、ロゼを助ける時間を稼げるはずです。
QUEST_LV_0100_20151223_011535	私の前にあるこれが何の装置なのかは分かりませんが…{nl}ウィザードが何か黒い物体を入れて装置を稼働させると、修道院の空気が突然不気味なものに{nl}変わりました。{nl}
QUEST_LV_0100_20151223_011536	それと同時に、私の体の中でも何かが膨張して、もの凄い頭痛に襲われました。{nl}何も考えることができないほどに。
QUEST_LV_0100_20151223_011537	その苦しみはすぐに止まりましたが、ウィザードはとても怒っていました。{nl}やっぱり本物の適合者を探さなければならないと…。{nl}
QUEST_LV_0100_20151223_011538	ロゼが本物の適合者だとしたら、今頃同じ頭痛にあえいでいるかもしれません。{nl}
QUEST_LV_0100_20151223_011539	ウィザードが入れたあの黒い物体が手に入れば…{nl}あれを勝手に入れてしまえば過負荷を起こして装置が止まってくれるかもしれません。{nl}
QUEST_LV_0100_20151223_011540	ウィザードが魔族に命令してブラウンハミングバードから採取していたようです。{nl}とにかく手当たり次第集めて私のところに持って来てください。
QUEST_LV_0100_20151223_011541	ハミングバードの粘液をもっと集めて装置を壊しましょう。{nl}多ければ多いほど良いはずです。一気に入れて過負荷を起こさせましょう。
QUEST_LV_0100_20151223_011542	適合者であるからこそ、あの苦痛の中でも女神のもとへ旅立てないのです。{nl}でも、苦痛が無くなるわけではありませんから…。
QUEST_LV_0100_20151223_011543	成功です！{nl}装置が過負荷を起こして爆発しましたね！{nl}
QUEST_LV_0100_20151223_011544	次の装置は本館アトリウムにあります。{nl}そこでお待ちしています。
QUEST_LV_0100_20151223_011545	あの魔法の水晶…。{nl}ウィザードはアトリウムで精神支配の儀式を始めたんです。{nl}
QUEST_LV_0100_20151223_011546	その水晶が光を放ち、私の意識はどんどん薄れて…。{nl}気が付いた時には…キルヌマ経堂に倒れていました。{nl}
QUEST_LV_0100_20151223_011547	ロゼもきっと同じ目に遭ってるでしょう。{nl}でも、シールド装置が無い状態であの水晶を壊すことはできません。
QUEST_LV_0100_20151223_011548	この魔法の水晶を破壊すれば、ロゼに何が起こるかも予測できないんです。{nl}でも…何があっても自分のせいで胞子が撒き散らすされるなんて、{nl}ロゼも望んでいないでしょう。
QUEST_LV_0100_20151223_011549	破壊できましたか？{nl}あのウィザードは完全な宿主がスイッチの役割を果たすだろうと言っていました。{nl}ロゼさえ無事ならば、どんなことでもやってみせましょう。{nl}
QUEST_LV_0100_20151223_011550	ここはモンスターが多すぎますね。{nl}昇降機に乗って上に行きましょう。こちらですよ。
